Wall time,Step,Value
1685322471.9636056,111449,54.0
1685322484.5418725,111799,54.0
1685322493.2334063,112049,54.0
1685322507.0123436,112449,54.0
1685322512.1970525,112599,54.0
1685322520.7921925,112849,54.0
1685322538.3099897,113078,54.0
1685322609.8292947,113699,55.0
1685322630.4166873,114299,55.0
1685322721.337245,115299,56.0
1685322752.8523164,116199,56.0
1685322754.565823,116249,56.0
1685322759.7413378,116399,56.0
1685322856.7059119,117499,57.0
1685322861.8877325,117649,57.0
1685322882.601958,118249,57.0
1685322889.5135896,118449,57.0
1685322976.8340268,119199,58.0
1685323007.6876805,120099,58.0
1685323019.6361234,120449,58.0
1685323097.3094678,120849,59.0
1685323109.220301,121199,59.0
1685323112.6712632,121299,59.0
1685323119.528948,121499,59.0
1685323131.5573483,121849,59.0
1685323136.725944,121999,59.0
1685323149.2836213,122349,59.0
1685323154.4200242,122499,59.0
1685323258.8329163,123799,60.0
1685323271.3183367,124149,60.0
1685323279.922294,124399,60.0
1685323288.5150936,124649,60.0
1685323368.9980571,125199,61.0
1685323416.0384777,126549,61.0
1685323428.0109103,126899,61.0
1685323433.1384869,127049,61.0
1685323533.9809124,128149,62.0
1685323540.9066312,128349,62.0
1685323546.0726225,128499,62.0
1685323572.1615107,129249,62.0
1685323639.7871583,129399,63.0
1685323643.185817,129499,63.0
1685323663.8293269,130099,63.0
1685323683.3522568,130649,63.0
1685323688.5661798,130799,63.0
1685323692.02274,130899,63.0
1685323702.415491,131199,63.0
1685323705.8475368,131299,63.0
1685323709.257998,131399,63.0
1685323779.2610857,131549,64.0
1685323824.4777184,132849,64.0
1685323834.774758,133149,64.0
1685323846.734789,133499,64.0
1685323925.626085,133949,65.0
1685323951.5104227,134699,65.0
1685323973.878289,135349,65.0
1685324051.4077542,135899,66.0
1685324070.2785535,136449,66.0
1685324071.9930854,136499,66.0
1685324078.8667796,136699,66.0
1685324083.9919267,136849,66.0
1685324096.0413501,137199,66.0
1685324110.2546177,137599,66.0
1685324177.33922,137949,67.0
1685324220.3810887,139199,67.0
1685324237.9385073,139699,67.0
1685324332.226082,140149,68.0
1685324342.6823523,140449,68.0
1685324355.126642,140799,68.0
1685324403.446003,142199,68.0
1685324415.4245126,142549,68.0
1685324420.5453858,142699,68.0
1685324436.7386582,142724,68.0
1685324498.3267202,142999,69.0
1685324543.4487216,144299,69.0
1685324552.0298107,144549,69.0
1685324632.7811499,145149,70.0
1685324634.4879944,145199,70.0
1685324686.5930765,146699,70.0
1685324784.9812381,147849,71.0
1685324798.7484992,148249,71.0
1685324803.8925066,148399,71.0
1685324805.6177292,148449,71.0
1685324898.5705357,149399,72.0
1685324907.248243,149649,72.0
1685324931.4787815,150349,72.0
1685325013.8606975,151099,73.0
1685325037.761869,151799,73.0
1685325129.311951,152749,74.0
1685325149.8350403,153349,74.0
1685325153.2967727,153449,74.0
1685325165.4422534,153799,74.0
1685325195.1752489,154649,74.0
1685325280.710864,155399,75.0
1685325294.4454794,155799,75.0
1685325297.8710978,155899,75.0
1685325313.8136227,156349,75.0
1685325340.9723463,156829,75.0
1685325395.5006824,157049,76.0
1685325400.6431847,157199,76.0
1685325407.5043042,157399,76.0
1685325416.082123,157649,76.0
1685325425.044511,157899,76.0
1685325430.2228823,158049,76.0
1685325440.5342767,158349,76.0
1685325468.4815888,158850,76.0
1685325520.7962441,159099,77.0
1685325525.9889321,159249,77.0
1685325541.4812982,159699,77.0
1685325652.5238354,161249,78.0
1685325663.4627366,161549,78.0
1685325668.6725097,161699,78.0
1685325679.0074265,161999,78.0
1685325689.341568,162299,78.0
1685325772.542978,163149,79.0
1685325775.9966257,163249,79.0
1685325783.2165666,163449,79.0
1685325791.9405432,163699,79.0
1685325881.9816742,164649,80.0
1685325888.8597958,164849,80.0
1685325890.5809085,164899,80.0
1685325892.3083158,164949,80.0
1685325895.777146,165049,80.0
1685325910.0540679,165449,80.0
1685325929.0164254,165999,80.0
1685325935.9163601,166199,80.0
1685326001.1228793,166449,81.0
1685326007.9598632,166649,81.0
1685326025.56317,167149,81.0
1685326053.1375344,167949,81.0
1685326058.3194113,168099,81.0
1685326160.0869834,169249,82.0
1685326185.957109,169999,82.0
1685326194.5175202,170249,82.0
1685326265.362744,170649,83.0
1685326291.2518127,171399,83.0
1685326301.5875359,171699,83.0
1685326310.15556,171949,83.0
1685326322.2456062,172299,83.0
1685326324.3634377,172349,83.0
1685326326.0846326,172399,83.0
1685326402.0837295,172849,84.0
1685326441.6262689,173999,84.0
1685326450.79275,174249,84.0
1685326532.7376106,174849,85.0
1685326536.2089307,174949,85.0
1685326574.5803106,176049,85.0
1685326581.478464,176249,85.0
1685326676.4126873,177149,86.0
1685326693.9524095,177649,86.0
1685326706.0096774,177999,86.0
1685326712.9084,178199,86.0
1685326714.6269248,178249,86.0
1685326817.5453165,179449,87.0
1685326831.2877748,179849,87.0
1685326834.7532325,179949,87.0
1685326845.2342951,180249,87.0
1685326860.8208258,180699,87.0
1685326950.7422848,181549,88.0
1685327004.6745617,183099,88.0
1685327008.0867817,183199,88.0
1685327009.806423,183249,88.0
1685327085.5356932,183799,89.0
1685327122.2688522,184849,89.0
1685327206.7768066,185699,90.0
1685327217.0979571,185999,90.0
1685327345.9697568,187599,91.0
1685327356.231195,187899,91.0
1685327359.6553175,187999,91.0
1685327366.5943587,188199,91.0
1685327383.8532577,188699,91.0
1685327387.307914,188799,91.0
1685327392.464732,188949,91.0
1685327397.5896475,189099,91.0
1685327421.824157,189799,91.0
1685327423.545507,189849,91.0
1685327524.1771293,190849,92.0
1685327532.8018475,191099,92.0
1685327536.2614274,191199,92.0
1685327543.134706,191399,92.0
1685327560.353864,191899,92.0
1685327588.276684,192389,92.0
1685327643.768237,192649,93.0
1685327659.2727056,193099,93.0
1685327680.0329232,193699,93.0
1685327686.8923492,193899,93.0
1685327688.5931385,193949,93.0
1685327765.5455468,194549,94.0
1685327784.3325222,195099,94.0
1685327811.9626558,195899,94.0
1685327813.65291,195949,94.0
1685327894.9431524,196599,95.0
1685327900.0791442,196749,95.0
1685327908.6220336,196999,95.0
1685327915.5802507,197199,95.0
1685327925.8720684,197499,95.0
1685327929.29328,197599,95.0
1685327941.2444441,197949,95.0
1685327955.5033476,198349,95.0
1685328032.3519943,198999,96.0
1685328042.7110183,199299,96.0
1685328067.2141755,199999,96.0
1685328141.0446596,200499,97.0
1685328154.8371372,200899,97.0
1685328186.633072,201799,97.0
1685328190.1206515,201899,97.0
1685328191.8476126,201949,97.0
1685328200.4639482,202199,97.0
1685328218.553169,202403,97.0
1685328280.804649,202899,98.0
1685328282.5272205,202949,98.0
1685328292.8401692,203249,98.0
1685328319.2098238,203999,98.0
1685328320.9294963,204049,98.0
1685328405.5728376,204849,99.0
1685328425.0084767,205399,99.0
1685328443.8932574,205949,99.0
1685328516.3271673,206499,100.0
1685328566.4169421,207949,100.0
1685328636.1368582,208299,101.0
1685328654.86741,208849,101.0
1685328665.5145185,209149,101.0
1685328698.161372,210099,101.0
1685328699.8643594,210149,101.0
1685328760.7537134,210349,102.0
1685328772.770558,210699,102.0
